pathway	external_id	source	hgnc_symbol_ids
Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	path:hsa00250	KEGG	NIT2,ADSS,ASNS,GLUL,ABAT,ADSL,GLS,ASS1,GAD1,GAD2,CAD,ASPA,GOT2,IL4I1,GOT1,ASL,RIMKLA,RIMKLB,DDO,GFPT1,GPT,ADSSL1,AGXT2,NAT8L,ALDH4A1,GPT2,AGXT,GLUD2,GLUD1,PPAT,ALDH5A1,GFPT2,FOLH1,CPS1,GLS2
Folate biosynthesis - Homo sapiens (human)	path:hsa00790	KEGG	ALPP,DHFR,QDPR,SPR,GCH1,DHFRL1,MOCS2,MOCS1,FPGS,ALPI,ALPPL2,PTS,GGH,ALPL
Complement and coagulation cascades - Homo sapiens (human)	path:hsa04610	KEGG	KNG1,CD55,C1QC,CD59,PROS1,C1QB,C8A,C8B,SERPING1,C1QA,C8G,F13A1,SERPINE1,MBL2,SERPINA1,SERPINA5,SERPINC1,C4BPA,C4BPB,F12,A2M,C9,CPB2,C4A,C4B,TFPI,C3,C2,FGG,C7,FGA,FGB,PLAUR,KLKB1,F13B,CD46,PLAU,PLAT,F3,SERPINF2,THBD,F10,F11,SERPIND1,CR2,F2,CR1,F5,CFH,CFI,F8,C3AR1,CFD,F7,CFB,MASP1,MASP2,C6,PLG,F2R,C5AR1,C5,F9,C1S,C1R,VWF,PROC
Citrate cycle (TCA cycle) - Homo sapiens (human)	path:hsa00020	KEGG	PCK2,PCK1,CS,MDH2,MDH1,FH,IDH3A,OGDH,IDH3B,IDH3G,PC,PDHB,OGDHL,PDHA2,PDHA1,DLD,IDH2,IDH1,SUCLG2,SUCLG1,ACO1,ACO2,DLST,SUCLA2,DLAT,SDHA,ACLY,SDHC,SDHB,SDHD
Antigen processing and presentation - Homo sapiens (human)	path:hsa04612	KEGG	CD74,HSPA2,TAP2,KLRD1,HSPA5,HSPA4,HLA-C,HLA-B,HLA-A,HSPA8,HLA-G,HLA-F,HLA-E,CD4,NFYB,B2M,HSPA6,KIR3DL2,CANX,HSPA1L,KLRC3,KIR2DL3,HLA-DRA,CTSS,PSME1,CIITA,KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS3,KIR2DS1,HSP90AB1,HSPA1A,HLA-DQB1,CREB1,KLRC1,HLA-DPB1,RFXANK,KLRC2,CTSL,KLRC4,TAP1,IFNG,HLA-DRB3,CTSB,HLA-DRB1,PSME2,PSME3,IFI30,HLA-DRB5,TNF,HLA-DRB4,KIR3DL3,CD8A,KIR3DL1,KIR2DL5A,CD8B,RFXAP,NFYC,LGMN,HSPA1B,RFX5,CALR,PDIA3,NFYA,TAPBP,KIR2DL2,KIR2DL1,HLA-DOA,HLA-DOB,HLA-DPA1,HSP90AA1,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA
Primary immunodeficiency - Homo sapiens (human)	path:hsa05340	KEGG	TAP1,IL7R,TAP2,CD40LG,ADA,RFXANK,CD4,LCK,IKBKG,DCLRE1C,CIITA,JAK3,BLNK,ICOS,ORAI1,CD40,RAG2,RAG1,UNG,CD8A,ZAP70,CD8B,TNFRSF13B,TNFRSF13C,RFXAP,AIRE,IL2RG,RFX5,CD3E,PTPRC,IGLL1,CD3D,AICDA,BTK,CD19
Dorso-ventral axis formation - Homo sapiens (human)	path:hsa04320	KEGG	PIWIL4,PIWIL3,PIWIL2,PIWIL1,CPEB4,EGFR,CPEB3,FMN2,MAP2K1,SOS2,SPIRE2,ETS2,MAPK3,ETS1,CPEB1,CPEB2,KRAS,SOS1,ETV7,ETV6,NOTCH4,SPIRE1,NOTCH1,NOTCH2,NOTCH3,MAPK1
Tryptophan metabolism - Homo sapiens (human)	path:hsa00380	KEGG	IDO2,AOX1,IDO1,INMT,ALDH3A2,CAT,DDC,HAAO,ECHS1,AANAT,GCDH,OGDH,KYNU,CYP1B1,ASMT,HADHA,AFMID,ACAT1,ACAT2,IL4I1,OGDHL,KMO,TDO2,AADAT,HADH,TPH1,TPH2,ALDH9A1,ALDH7A1,ALDH1B1,EHHADH,ACMSD,CYP1A1,CYP1A2,ALDH2,MAOB,MAOA,AOC1,CCBL1,CCBL2
Prion diseases - Homo sapiens (human)	path:hsa05020	KEGG	MAP2K1,CCL5,PRNP,BAX,NOTCH1,C8A,C8B,C8G,IL1A,STIP1,PRKX,NCAM1,NCAM2,HSPA5,EGR1,FYN,MAPK3,C9,MAPK1,C7,C6,C5,HSPA1A,SOD1,CASP12,LAMC1,MAP2K2,C1QC,C1QB,C1QA,IL6,PRKACG,ELK1,PRKACA,PRKACB,IL1B
Fanconi anemia pathway - Homo sapiens (human)	path:hsa03460	KEGG	C17orf70,USP1,ERCC4,MUS81,ATR,FANCD2,POLN,BRIP1,APITD1,POLK,RMI1,POLI,POLH,C19orf40,STRA13,SLX4,FANCF,SLX1A,SLX1B,MLH1,FANCG,ATRIP,FANCE,FANCC,FANCB,FANCA,ERCC1,FANCM,FANCL,FANCI,BRCA1,BRCA2,RMI2,BLM,REV3L,REV1,TELO2,PMS2,RAD51C,FAN1,RPA4,PALB2,RPA1,RPA3,RPA2,WDR48,TOP3A,RAD51,HES1,TOP3B,EME1,UBE2T,EME2
Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	path:hsa04750	KEGG	CALM2,CALM3,CALM1,PTGER4,PIK3CA,PIK3CB,PIK3CD,NTRK1,PTGER2,PIK3CG,PLA2G6,TRPM8,TRPV1,TRPV3,TRPV2,HTR2C,CAMK2D,HRH1,CAMK2A,CAMK2B,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,ADCY8,ADCY9,NGF,IGF1,IL1R1,PIK3R5,PIK3R3,PIK3R2,PIK3R1,HTR2B,PLCB1,PLCB2,PLCB3,PLCB4,ASIC5,ASIC4,ASIC1,ASIC3,ASIC2,ITPR2,ITPR3,ITPR1,GNAQ,GNAS,CALML3,CALML6,CALML5,CYP2J2,MAPK14,PLA2G4C,MAPK10,MAPK11,MAPK12,MAPK13,IL1B,MAPK8,MAPK9,SRC,TRPV4,PRKCQ,JMJD7-PLA2G4B,PRKACG,PRKACA,PRKACB,F2RL1,MAP2K6,MAP2K3,PLCG2,PLCG1,ALOX12,TRPA1,PRKX,PRKCH,CAMK2G,PRKCA,PRKCB,PRKCE,PRKCD,PRKCG,HTR2A,P2RY2,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,PPP1CB,PPP1CC,PPP1CA
Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	path:hsa00604	KEGG	B3GALT4,ST3GAL2,ST3GAL1,B4GALNT1,ST3GAL5,HEXA,ST8SIA5,HEXB,GLB1,SLC33A1,ST8SIA1,ST6GALNAC6,ST6GALNAC5,ST6GALNAC4,ST6GALNAC3
Non-small cell lung cancer - Homo sapiens (human)	path:hsa05223	KEGG	FHIT,RASSF1,PIK3CD,HRAS,RASSF5,MAP2K1,FOXO3,PLCG2,BAD,AKT3,ARAF,RB1,RXRG,RAF1,EGF,SOS1,RARB,ALK,PIK3CA,PIK3CB,NRAS,EML4,PIK3CG,MAPK3,PIK3R5,MAPK1,PIK3R3,PIK3R2,PIK3R1,ERBB2,TGFA,CDKN2A,PRKCA,EGFR,PRKCB,RXRA,PRKCG,STK4,RXRB,TP53,KRAS,E2F3,SOS2,E2F1,AKT1,CCND1,E2F2,AKT2,PLCG1,CASP9,MAP2K2,CDK4,BRAF,CDK6,PDPK1
Platelet activation - Homo sapiens (human)	path:hsa04611	KEGG	PTGS1,ACTG1,COL11A2,FYN,AKT1,AKT2,AKT3,COL11A1,PIK3CA,PIK3CB,PIK3CD,PIK3R5,PIK3CG,GP9,PRKG1,GP6,FGG,FGA,FGB,ADCY4,ARHGEF12,TBXAS1,PLA2G4A,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,SNAP23,SYK,ADCY3,ADCY8,ADCY9,F2R,GUCY1B3,ACTB,RASGRP2,PRKCI,RASGRP1,APBB1IP,ITGA2,MAPK13,MYLK,ORAI1,GUCY1A3,COL3A1,COL2A1,COL27A1,GUCY1A2,PIK3R3,PIK3R2,PIK3R1,PRKG2,PRKACA,PLCB1,PLCB2,PLCB3,PLCB4,PRKACB,ITPR2,ITPR3,RHOA,ITPR1,GNAQ,GNAS,JMJD7-PLA2G4B,VWF,BTK,RAP1B,RAP1A,MAPK14,MAPK11,MAPK12,PLA2G4B,ARHGEF1,GNAI2,GNAI3,GNAI1,FCER1G,ITGA2B,GP1BA,GP1BB,MAPK3,MAPK1,PPP1R12A,SRC,LCP2,MYLK4,MYLK2,MYLK3,COL5A2,COL5A3,COL5A1,GP5,LYN,MYL12B,MYL12A,PPP1CA,PRKACG,COL1A2,COL1A1,F2RL3,STIM1,PLCG2,P2RX1,PRKX,TLN2,TLN1,GNA13,ITGB1,ITGB3,NOS3,FCGR2A,PRKCZ,PLA2G4C,COL24A1,VASP,P2RY1,PLA2G4F,PLA2G4E,PLA2G4D,PPP1CB,PPP1CC,FERMT3,VAMP8,ROCK1,ROCK2,ARHGAP35
Cell adhesion molecules (CAMs) - Homo sapiens (human)	path:hsa04514	KEGG	NRCAM,CD34,GLG1,TIGIT,VTCN1,CD226,L1CAM,CD40LG,PECAM1,NTNG1,NTNG2,CDH1,CDH3,CDH2,CDH5,CDH4,CD8A,HLA-DPB1,CD28,LRRC4,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,NEGR1,LRRC4C,LRRC4B,NRXN3,NRXN2,NRXN1,MAG,ITGA8,ITGA9,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,CNTN2,CNTN1,ICOSLG,MADCAM1,PVRL1,CLDN9,PVRL3,PVRL2,HLA-DQB1,ITGB8,CLDN1,CLDN2,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CTLA4,NLGN4X,JAM2,JAM3,NFASC,F11R,CD99,SDC1,SDC2,SDC3,SDC4,ITGAV,ITGAM,ESAM,CD80,MPZ,CLDN10,CLDN11,CLDN16,CLDN17,CLDN14,CLDN15,CLDN18,CLDN19,CD4,CD6,CD2,NCAM1,NCAM2,PVR,MPZL1,ALCAM,CD86,ICAM3,ICAM2,ICAM1,CADM3,PDCD1,ICOS,NLGN2,NLGN3,NLGN1,ITGA4,CLDN8,VCAM1,OCLN,CD8B,HLA-DOA,HLA-DOB,CD274,HLA-DPA1,CADM1,CD276,CDH15,CD58,VCAN,CNTNAP1,CNTNAP2,HLA-DMB,HLA-DRA,NEO1,CD22,ITGB1,ITGB2,ITGB7,CLDN23,CLDN22,CLDN20,CD40,CLDN25,CLDN24,PDCD1LG2,SELL,SELE,SIGLEC1,PTPRF,PTPRC,PTPRM,SELP,HLA-DQA1,HLA-DQA2,HLA-DMA
Chronic myeloid leukemia - Homo sapiens (human)	path:hsa05220	KEGG	BCL2L1,TGFB1,TGFB2,TGFB3,CRKL,CBLB,SMAD4,CDKN1B,CDKN1A,NFKBIA,GAB2,MAP2K1,SMAD3,IKBKB,MAP2K2,BAD,AKT3,ARAF,IKBKG,SOS2,ABL1,CRK,PIK3CG,RAF1,BCR,SOS1,STAT5B,MECOM,PIK3CA,PIK3CB,NRAS,RB1,PIK3CD,MAPK3,PIK3R5,MAPK1,PIK3R3,PIK3R2,PIK3R1,HDAC2,NFKB1,MYC,HRAS,CBLC,TGFBR2,TGFBR1,CDKN2A,SHC1,SHC2,SHC3,CHUK,TP53,MDM2,RELA,HDAC1,KRAS,E2F3,E2F2,E2F1,AKT1,SHC4,PTPN11,AKT2,CBL,CCND1,STAT5A,RUNX1,CDK4,BRAF,CDK6,CTBP1,CTBP2
ECM-receptor interaction - Homo sapiens (human)	path:hsa04512	KEGG	ITGA8,ITGA9,COL11A1,CHAD,ITGA1,ITGA2,ITGA3,ITGA4,ITGA5,CD36,ITGA7,AGRN,LAMC2,ITGA10,ITGA11,COL24A1,LAMB1,COL3A1,LAMB3,LAMB2,COL2A1,LAMB4,LAMA5,TNN,IBSP,THBS2,COL11A2,ITGA2B,LAMA3,TNR,GP1BA,THBS3,GP1BB,COL27A1,LAMA2,RELN,COMP,GP5,GP6,SV2B,GP9,HMMR,LAMA1,ITGB3,HSPG2,ITGB5,ITGB4,ITGB7,ITGB6,LAMA4,ITGB8,CD47,TNXB,VTN,COL5A2,COL4A6,COL4A5,COL4A4,ITGB1,DAG1,COL4A1,TNC,LAMC3,LAMC1,COL1A2,VWF,THBS4,CD44,FN1,COL5A3,SDC1,SDC4,ITGAV,COL5A1,SPP1,COL1A1,COL6A1,COL4A3,COL6A3,COL6A6,COL6A5,THBS1,SV2C,COL4A2
Focal adhesion - Homo sapiens (human)	path:hsa04510	KEGG	COL11A1,COL11A2,TLN2,MYL7,AKT2,MYL5,MYL2,RAPGEF1,CAV2,CAV3,ZYX,MYL9,CRKL,PIK3CA,PIK3CB,PIK3CD,PIK3R5,PIK3CG,RELN,ERBB2,IGF1R,DIAPH1,SHC2,SHC3,RAP1B,MYL12B,SOS1,FN1,AKT1,CCND1,CCND3,CCND2,MYLK,GSK3B,PTEN,AKT3,ACTB,PAK7,PAK1,PAK2,PAK3,ITGA8,ITGA9,ITGA1,ITGA2,DOCK1,ITGA4,PDGFB,ITGA7,ITGA10,ITGA11,LAMB1,CRK,LAMB3,LAMB2,IBSP,LAMB4,RAC3,COL2A1,THBS4,RAC1,JUN,THBS3,THBS1,COL27A1,ELK1,PIK3R3,PIK3R2,PIK3R1,COL1A2,CAV1,FIGF,IGF1,MYL10,COL4A6,COL4A5,COL4A4,VEGFA,COL4A2,VEGFC,VEGFB,LAMC2,LAMC3,RHOA,LAMC1,BCAR1,PAK6,VAV1,VAV3,VAV2,ITGAV,COL4A3,VWF,FLNC,PDGFD,PDGFRB,PDGFRA,COL4A1,CHAD,ILK,RAP1A,RAC2,XIAP,MAPK10,BIRC3,TNR,SOS2,ARHGAP5,FLT4,RAF1,FLT1,THBS2,ITGA2B,MAPK3,MAPK1,PPP1R12A,PPP1R12B,PPP1R12C,PARVB,MAPK8,PARVA,EGF,PARVG,KDR,CAPN2,SRC,LAMA2,ITGA3,LAMA4,LAMA5,ACTG1,COMP,MYLK4,MYLK2,MYLK3,ITGA5,COL5A2,COL5A3,COL5A1,PPP1CB,MAPK9,RASGRF1,MYL12A,PIP5K1C,PPP1CA,MAP2K1,TNN,SPP1,COL1A1,CDC42,SHC4,PTK2,LAMA1,EGFR,BIRC2,CTNNB1,BAD,LAMA3,MYLPF,COL3A1,SHC1,PGF,FYN,TLN1,PXN,ARHGAP35,ITGB1,ITGB3,PDGFC,ITGB5,ITGB4,ITGB7,ITGB6,PRKCA,ITGB8,PRKCB,VCL,PRKCG,TNC,HGF,COL24A1,VASP,VTN,FLNB,ACTN3,ACTN2,ACTN1,TNXB,HRAS,PPP1CC,ACTN4,ROCK1,ROCK2,BRAF,COL6A1,PDPK1,COL6A3,BCL2,COL6A5,COL6A6
